subject_session	dataset	path	fieldmaps	connectome: fMRIPrep	connectome: C-PAC: fmriprep-options
sub-A00031893_ses-BAS1_task-CHECKERBOARD_acq-1400	NKI	/ocean/projects/med220004p/shared/data_sandbox/derived/RBC-testing/data/UPenn/NKI/sub-A00031893/ses-BAS1	None	sub-A00031893_ses-BAS1_task-CHECKERBOARD_acq-1400_space-MNI152NLin6Asym_res-2_desc-preproc_connectome.tsv	
sub-A00031893_ses-BAS1_task-rest_acq-CAPVARIANTPartialFourierTotalReadoutTime	NKI	/ocean/projects/med220004p/shared/data_sandbox/derived/RBC-testing/data/UPenn/NKI/sub-A00031893/ses-BAS1	None	sub-A00031893_ses-BAS1_task-rest_acq-CAPVARIANTPartialFourierTotalReadoutTime_space-MNI152NLin6Asym_res-2_desc-preproc_connectome.tsv	
sub-A00031893_ses-BAS1_task-BREATHHOLD_acq-1400	NKI	/ocean/projects/med220004p/shared/data_sandbox/derived/RBC-testing/data/UPenn/NKI/sub-A00031893/ses-BAS1	None	sub-A00031893_ses-BAS1_task-BREATHHOLD_acq-1400_space-MNI152NLin6Asym_res-2_desc-preproc_connectome.tsv	
sub-A00031893_ses-BAS1_task-rest_acq-1400	NKI	/ocean/projects/med220004p/shared/data_sandbox/derived/RBC-testing/data/UPenn/NKI/sub-A00031893/ses-BAS1	None	sub-A00031893_ses-BAS1_task-rest_acq-1400_space-MNI152NLin6Asym_res-2_desc-preproc_connectome.tsv	
sub-A00075296_ses-FLU1_task-rest_acq-1400VARIANTNumVolumes	NKI	/ocean/projects/med220004p/shared/data_sandbox/derived/RBC-testing/data/UPenn/NKI/sub-A00075296/ses-FLU1	None	sub-A00075296_ses-FLU1_task-rest_acq-1400VARIANTNumVolumes_space-MNI152NLin6Asym_res-2_desc-preproc_connectome.tsv	
sub-A00075296_ses-FLU1_task-rest_acq-645	NKI	/ocean/projects/med220004p/shared/data_sandbox/derived/RBC-testing/data/UPenn/NKI/sub-A00075296/ses-FLU1	None	sub-A00075296_ses-FLU1_task-rest_acq-645_space-MNI152NLin6Asym_res-2_desc-preproc_connectome.tsv	
sub-A00075296_ses-BAS1_task-rest_acq-645	NKI	/ocean/projects/med220004p/shared/data_sandbox/derived/RBC-testing/data/UPenn/NKI/sub-A00075296/ses-BAS1	None	sub-A00075296_ses-BAS1_task-rest_acq-645_space-MNI152NLin6Asym_res-2_desc-preproc_connectome.tsv	
sub-A00075296_ses-BAS1_task-rest_acq-1400VARIANTNumVolumes	NKI	/ocean/projects/med220004p/shared/data_sandbox/derived/RBC-testing/data/UPenn/NKI/sub-A00075296/ses-BAS1	None	sub-A00075296_ses-BAS1_task-rest_acq-1400VARIANTNumVolumes_space-MNI152NLin6Asym_res-2_desc-preproc_connectome.tsv	
sub-A00039951_ses-FLU2_acq-VARIANTParallelReductionFactorInPlanePartialFourierPhaseEncodingDirection	NKI	/ocean/projects/med220004p/shared/data_sandbox/derived/RBC-testing/data/UPenn/NKI/sub-A00039951/ses-FLU2	None		
sub-A00039951_ses-FLU2_acq-VARIANTMultibandAccelerationFactorPartialFourierTotalReadoutTime	NKI	/ocean/projects/med220004p/shared/data_sandbox/derived/RBC-testing/data/UPenn/NKI/sub-A00039951/ses-FLU2	None		
sub-A00039951_ses-FLU2_task-rest_acq-645VARIANTMultibandAccelerationFactorPartialFourierTotalReadoutTime	NKI	/ocean/projects/med220004p/shared/data_sandbox/derived/RBC-testing/data/UPenn/NKI/sub-A00039951/ses-FLU2	None	sub-A00039951_ses-FLU2_task-rest_acq-645VARIANTMultibandAccelerationFactorPartialFourierTotalReadoutTime_space-MNI152NLin6Asym_res-2_desc-preproc_connectome.tsv	
sub-A00039951_ses-FLU2_task-rest_acq-1400VARIANTMultibandAccelerationFactorPartialFourierTotalReadoutTime	NKI	/ocean/projects/med220004p/shared/data_sandbox/derived/RBC-testing/data/UPenn/NKI/sub-A00039951/ses-FLU2	None	sub-A00039951_ses-FLU2_task-rest_acq-1400VARIANTMultibandAccelerationFactorPartialFourierTotalReadoutTime_space-MNI152NLin6Asym_res-2_desc-preproc_connectome.tsv	
sub-A00039951_ses-FLU2_task-rest_acq-CAPVARIANTPartialFourierTotalReadoutTime	NKI	/ocean/projects/med220004p/shared/data_sandbox/derived/RBC-testing/data/UPenn/NKI/sub-A00039951/ses-FLU2	None	sub-A00039951_ses-FLU2_task-rest_acq-CAPVARIANTPartialFourierTotalReadoutTime_space-MNI152NLin6Asym_res-2_desc-preproc_connectome.tsv	
sub-A00039951_ses-FLU2_task-CHECKERBOARD_acq-645	NKI	/ocean/projects/med220004p/shared/data_sandbox/derived/RBC-testing/data/UPenn/NKI/sub-A00039951/ses-FLU2	None		
sub-A00039951_ses-FLU2_task-CHECKERBOARD_acq-1400VARIANTMultibandAccelerationFactorPartialFourierTotalReadoutTime	NKI	/ocean/projects/med220004p/shared/data_sandbox/derived/RBC-testing/data/UPenn/NKI/sub-A00039951/ses-FLU2	None	sub-A00039951_ses-FLU2_task-CHECKERBOARD_acq-1400VARIANTMultibandAccelerationFactorPartialFourierTotalReadoutTime_space-MNI152NLin6Asym_res-2_desc-preproc_connectome.tsv	
sub-A00039951_ses-FLU2_task-BREATHHOLD_acq-1400VARIANTMultibandAccelerationFactorPartialFourierTotalReadoutTime	NKI	/ocean/projects/med220004p/shared/data_sandbox/derived/RBC-testing/data/UPenn/NKI/sub-A00039951/ses-FLU2	None	sub-A00039951_ses-FLU2_task-BREATHHOLD_acq-1400VARIANTMultibandAccelerationFactorPartialFourierTotalReadoutTime_space-MNI152NLin6Asym_res-2_desc-preproc_connectome.tsv	
sub-A00039951_ses-FLU1_task-rest_acq-CAP	NKI	/ocean/projects/med220004p/shared/data_sandbox/derived/RBC-testing/data/UPenn/NKI/sub-A00039951/ses-FLU1	None	sub-A00039951_ses-FLU1_task-rest_acq-CAP_space-MNI152NLin6Asym_res-2_desc-preproc_connectome.tsv	
sub-A00039951_ses-FLU1_task-CHECKERBOARD_acq-645	NKI	/ocean/projects/med220004p/shared/data_sandbox/derived/RBC-testing/data/UPenn/NKI/sub-A00039951/ses-FLU1	None	sub-A00039951_ses-FLU1_task-CHECKERBOARD_acq-645_space-MNI152NLin6Asym_res-2_desc-preproc_connectome.tsv	
sub-A00039951_ses-FLU1_task-BREATHHOLD_acq-1400	NKI	/ocean/projects/med220004p/shared/data_sandbox/derived/RBC-testing/data/UPenn/NKI/sub-A00039951/ses-FLU1	None	sub-A00039951_ses-FLU1_task-BREATHHOLD_acq-1400_space-MNI152NLin6Asym_res-2_desc-preproc_connectome.tsv	
sub-A00039951_ses-FLU1_task-rest_acq-645	NKI	/ocean/projects/med220004p/shared/data_sandbox/derived/RBC-testing/data/UPenn/NKI/sub-A00039951/ses-FLU1	None	sub-A00039951_ses-FLU1_task-rest_acq-645_space-MNI152NLin6Asym_res-2_desc-preproc_connectome.tsv	
sub-A00039951_ses-FLU1_task-CHECKERBOARD_acq-1400	NKI	/ocean/projects/med220004p/shared/data_sandbox/derived/RBC-testing/data/UPenn/NKI/sub-A00039951/ses-FLU1	None	sub-A00039951_ses-FLU1_task-CHECKERBOARD_acq-1400_space-MNI152NLin6Asym_res-2_desc-preproc_connectome.tsv	
sub-A00039951_ses-FLU1_task-rest_acq-1400	NKI	/ocean/projects/med220004p/shared/data_sandbox/derived/RBC-testing/data/UPenn/NKI/sub-A00039951/ses-FLU1	None	sub-A00039951_ses-FLU1_task-rest_acq-1400_space-MNI152NLin6Asym_res-2_desc-preproc_connectome.tsv	
sub-A00039951_ses-BAS1_task-CHECKERBOARD_acq-645	NKI	/ocean/projects/med220004p/shared/data_sandbox/derived/RBC-testing/data/UPenn/NKI/sub-A00039951/ses-BAS1	None	sub-A00039951_ses-BAS1_task-CHECKERBOARD_acq-645_space-MNI152NLin6Asym_res-2_desc-preproc_connectome.tsv	
sub-A00039951_ses-BAS1_task-BREATHHOLD_acq-1400	NKI	/ocean/projects/med220004p/shared/data_sandbox/derived/RBC-testing/data/UPenn/NKI/sub-A00039951/ses-BAS1	None	sub-A00039951_ses-BAS1_task-BREATHHOLD_acq-1400_space-MNI152NLin6Asym_res-2_desc-preproc_connectome.tsv	
sub-A00039951_ses-BAS1_task-rest_acq-1400	NKI	/ocean/projects/med220004p/shared/data_sandbox/derived/RBC-testing/data/UPenn/NKI/sub-A00039951/ses-BAS1	None	sub-A00039951_ses-BAS1_task-rest_acq-1400_space-MNI152NLin6Asym_res-2_desc-preproc_connectome.tsv	
sub-A00039951_ses-BAS1_task-rest_acq-CAP	NKI	/ocean/projects/med220004p/shared/data_sandbox/derived/RBC-testing/data/UPenn/NKI/sub-A00039951/ses-BAS1	None	sub-A00039951_ses-BAS1_task-rest_acq-CAP_space-MNI152NLin6Asym_res-2_desc-preproc_connectome.tsv	
sub-A00039951_ses-BAS1_task-CHECKERBOARD_acq-1400	NKI	/ocean/projects/med220004p/shared/data_sandbox/derived/RBC-testing/data/UPenn/NKI/sub-A00039951/ses-BAS1	None	sub-A00039951_ses-BAS1_task-CHECKERBOARD_acq-1400_space-MNI152NLin6Asym_res-2_desc-preproc_connectome.tsv	
sub-A00039951_ses-BAS1_task-rest_acq-645	NKI	/ocean/projects/med220004p/shared/data_sandbox/derived/RBC-testing/data/UPenn/NKI/sub-A00039951/ses-BAS1	None	sub-A00039951_ses-BAS1_task-rest_acq-645_space-MNI152NLin6Asym_res-2_desc-preproc_connectome.tsv	
sub-A00039951_ses-BAS2_task-CHECKERBOARD_acq-1400	NKI	/ocean/projects/med220004p/shared/data_sandbox/derived/RBC-testing/data/UPenn/NKI/sub-A00039951/ses-BAS2	None	sub-A00039951_ses-BAS2_task-CHECKERBOARD_acq-1400_space-MNI152NLin6Asym_res-2_desc-preproc_connectome.tsv	
sub-A00039951_ses-BAS2_task-CHECKERBOARD_acq-645	NKI	/ocean/projects/med220004p/shared/data_sandbox/derived/RBC-testing/data/UPenn/NKI/sub-A00039951/ses-BAS2	None	sub-A00039951_ses-BAS2_task-CHECKERBOARD_acq-645_space-MNI152NLin6Asym_res-2_desc-preproc_connectome.tsv	
sub-A00039951_ses-BAS2_task-rest_acq-CAP	NKI	/ocean/projects/med220004p/shared/data_sandbox/derived/RBC-testing/data/UPenn/NKI/sub-A00039951/ses-BAS2	None	sub-A00039951_ses-BAS2_task-rest_acq-CAP_space-MNI152NLin6Asym_res-2_desc-preproc_connectome.tsv	
sub-A00039951_ses-BAS2_task-rest_acq-645	NKI	/ocean/projects/med220004p/shared/data_sandbox/derived/RBC-testing/data/UPenn/NKI/sub-A00039951/ses-BAS2	None	sub-A00039951_ses-BAS2_task-rest_acq-645_space-MNI152NLin6Asym_res-2_desc-preproc_connectome.tsv	
sub-A00039951_ses-BAS2_task-rest_acq-1400	NKI	/ocean/projects/med220004p/shared/data_sandbox/derived/RBC-testing/data/UPenn/NKI/sub-A00039951/ses-BAS2	None	sub-A00039951_ses-BAS2_task-rest_acq-1400_space-MNI152NLin6Asym_res-2_desc-preproc_connectome.tsv	
sub-A00039951_ses-BAS2_task-BREATHHOLD_acq-1400	NKI	/ocean/projects/med220004p/shared/data_sandbox/derived/RBC-testing/data/UPenn/NKI/sub-A00039951/ses-BAS2	None	sub-A00039951_ses-BAS2_task-BREATHHOLD_acq-1400_space-MNI152NLin6Asym_res-2_desc-preproc_connectome.tsv	
sub-A00037229_ses-FLU1_task-rest_acq-CAP	NKI	/ocean/projects/med220004p/shared/data_sandbox/derived/RBC-testing/data/UPenn/NKI/sub-A00037229/ses-FLU1	None	sub-A00037229_ses-FLU1_task-rest_acq-CAP_space-MNI152NLin6Asym_res-2_desc-preproc_connectome.tsv	sub-A00037229_ses-FLU1_task-rest_acq-CAP_space-template_desc-preproc_connectome.tsv
sub-A00037229_ses-FLU1_task-CHECKERBOARD_acq-645	NKI	/ocean/projects/med220004p/shared/data_sandbox/derived/RBC-testing/data/UPenn/NKI/sub-A00037229/ses-FLU1	None	sub-A00037229_ses-FLU1_task-CHECKERBOARD_acq-645_space-MNI152NLin6Asym_res-2_desc-preproc_connectome.tsv	sub-A00037229_ses-FLU1_task-CHECKERBOARD_acq-645_space-template_desc-preproc_connectome.tsv
sub-A00037229_ses-FLU1_task-BREATHHOLD_acq-1400	NKI	/ocean/projects/med220004p/shared/data_sandbox/derived/RBC-testing/data/UPenn/NKI/sub-A00037229/ses-FLU1	None	sub-A00037229_ses-FLU1_task-BREATHHOLD_acq-1400_space-MNI152NLin6Asym_res-2_desc-preproc_connectome.tsv	sub-A00037229_ses-FLU1_task-BREATHHOLD_acq-1400_space-template_desc-preproc_connectome.tsv
sub-A00037229_ses-FLU1_task-CHECKERBOARD_acq-1400	NKI	/ocean/projects/med220004p/shared/data_sandbox/derived/RBC-testing/data/UPenn/NKI/sub-A00037229/ses-FLU1	None	sub-A00037229_ses-FLU1_task-CHECKERBOARD_acq-1400_space-MNI152NLin6Asym_res-2_desc-preproc_connectome.tsv	sub-A00037229_ses-FLU1_task-CHECKERBOARD_acq-1400_space-template_desc-preproc_connectome.tsv
sub-A00037229_ses-FLU1_task-rest_acq-1400	NKI	/ocean/projects/med220004p/shared/data_sandbox/derived/RBC-testing/data/UPenn/NKI/sub-A00037229/ses-FLU1	None	sub-A00037229_ses-FLU1_task-rest_acq-1400_space-MNI152NLin6Asym_res-2_desc-preproc_connectome.tsv	sub-A00037229_ses-FLU1_task-rest_acq-1400_space-template_desc-preproc_connectome.tsv
sub-A00037229_ses-BAS2_acq-VARIANTRepetitionTime	NKI	/ocean/projects/med220004p/shared/data_sandbox/derived/RBC-testing/data/UPenn/NKI/sub-A00037229/ses-BAS2	None		
sub-A00037229_ses-BAS2_task-CHECKERBOARD_acq-645	NKI	/ocean/projects/med220004p/shared/data_sandbox/derived/RBC-testing/data/UPenn/NKI/sub-A00037229/ses-BAS2	None	sub-A00037229_ses-BAS2_task-CHECKERBOARD_acq-645_space-MNI152NLin6Asym_res-2_desc-preproc_connectome.tsv	
sub-A00037229_ses-BAS2_task-BREATHHOLD_acq-1400	NKI	/ocean/projects/med220004p/shared/data_sandbox/derived/RBC-testing/data/UPenn/NKI/sub-A00037229/ses-BAS2	None	sub-A00037229_ses-BAS2_task-BREATHHOLD_acq-1400_space-MNI152NLin6Asym_res-2_desc-preproc_connectome.tsv	
sub-A00037229_ses-BAS2_task-rest_acq-645	NKI	/ocean/projects/med220004p/shared/data_sandbox/derived/RBC-testing/data/UPenn/NKI/sub-A00037229/ses-BAS2	None	sub-A00037229_ses-BAS2_task-rest_acq-645_space-MNI152NLin6Asym_res-2_desc-preproc_connectome.tsv	
sub-A00037229_ses-BAS2_task-CHECKERBOARD_acq-1400	NKI	/ocean/projects/med220004p/shared/data_sandbox/derived/RBC-testing/data/UPenn/NKI/sub-A00037229/ses-BAS2	None	sub-A00037229_ses-BAS2_task-CHECKERBOARD_acq-1400_space-MNI152NLin6Asym_res-2_desc-preproc_connectome.tsv	
sub-A00037229_ses-BAS2_task-rest_acq-1400	NKI	/ocean/projects/med220004p/shared/data_sandbox/derived/RBC-testing/data/UPenn/NKI/sub-A00037229/ses-BAS2	None	sub-A00037229_ses-BAS2_task-rest_acq-1400_space-MNI152NLin6Asym_res-2_desc-preproc_connectome.tsv	
sub-A00037229_ses-BAS2_task-rest_acq-CAP	NKI	/ocean/projects/med220004p/shared/data_sandbox/derived/RBC-testing/data/UPenn/NKI/sub-A00037229/ses-BAS2	None	sub-A00037229_ses-BAS2_task-rest_acq-CAP_space-MNI152NLin6Asym_res-2_desc-preproc_connectome.tsv	
sub-A00078239_ses-FLU2_acq-VARIANTParallelReductionFactorInPlanePartialFourierPhaseEncodingDirection	NKI	/ocean/projects/med220004p/shared/data_sandbox/derived/RBC-testing/data/UPenn/NKI/sub-A00078239/ses-FLU2	None		
sub-A00078239_ses-FLU2_task-rest_acq-645VARIANTMultibandAccelerationFactorPartialFourierTotalReadoutTimeNumVolumes	NKI	/ocean/projects/med220004p/shared/data_sandbox/derived/RBC-testing/data/UPenn/NKI/sub-A00078239/ses-FLU2	None	sub-A00078239_ses-FLU2_task-rest_acq-645VARIANTMultibandAccelerationFactorPartialFourierTotalReadoutTimeNumVolumes_space-MNI152NLin6Asym_res-2_desc-preproc_connectome.tsv	
sub-A00078239_ses-FLU2_task-BREATHHOLD_acq-1400	NKI	/ocean/projects/med220004p/shared/data_sandbox/derived/RBC-testing/data/UPenn/NKI/sub-A00078239/ses-FLU2	None		
sub-A00078239_ses-FLU2_task-rest_acq-CAPVARIANTPartialFourierTotalReadoutTime	NKI	/ocean/projects/med220004p/shared/data_sandbox/derived/RBC-testing/data/UPenn/NKI/sub-A00078239/ses-FLU2	None	sub-A00078239_ses-FLU2_task-rest_acq-CAPVARIANTPartialFourierTotalReadoutTime_space-MNI152NLin6Asym_res-2_desc-preproc_connectome.tsv	
sub-A00078239_ses-FLU2_task-CHECKERBOARD_acq-1400VARIANTMultibandAccelerationFactorPartialFourierTotalReadoutTime	NKI	/ocean/projects/med220004p/shared/data_sandbox/derived/RBC-testing/data/UPenn/NKI/sub-A00078239/ses-FLU2	None	sub-A00078239_ses-FLU2_task-CHECKERBOARD_acq-1400VARIANTMultibandAccelerationFactorPartialFourierTotalReadoutTime_space-MNI152NLin6Asym_res-2_desc-preproc_connectome.tsv	sub-A00078239_ses-FLU2_task-CHECKERBOARD_acq-1400VARIANTMultibandAccelerationFactorPartialFourierTotalReadoutTime_space-template_desc-preproc_connectome.tsv
sub-A00078239_ses-FLU2_task-CHECKERBOARD_acq-645VARIANTMultibandAccelerationFactorPartialFourierTotalReadoutTime	NKI	/ocean/projects/med220004p/shared/data_sandbox/derived/RBC-testing/data/UPenn/NKI/sub-A00078239/ses-FLU2	None	sub-A00078239_ses-FLU2_task-CHECKERBOARD_acq-645VARIANTMultibandAccelerationFactorPartialFourierTotalReadoutTime_space-MNI152NLin6Asym_res-2_desc-preproc_connectome.tsv	sub-A00078239_ses-FLU2_task-CHECKERBOARD_acq-645VARIANTMultibandAccelerationFactorPartialFourierTotalReadoutTime_space-template_desc-preproc_connectome.tsv
sub-A00078239_ses-FLU2_task-rest_acq-1400VARIANTMultibandAccelerationFactorPartialFourierTotalReadoutTime	NKI	/ocean/projects/med220004p/shared/data_sandbox/derived/RBC-testing/data/UPenn/NKI/sub-A00078239/ses-FLU2	None	sub-A00078239_ses-FLU2_task-rest_acq-1400VARIANTMultibandAccelerationFactorPartialFourierTotalReadoutTime_space-MNI152NLin6Asym_res-2_desc-preproc_connectome.tsv	
sub-A00078239_ses-FLU1_task-rest_acq-CAP	NKI	/ocean/projects/med220004p/shared/data_sandbox/derived/RBC-testing/data/UPenn/NKI/sub-A00078239/ses-FLU1	None	sub-A00078239_ses-FLU1_task-rest_acq-CAP_space-MNI152NLin6Asym_res-2_desc-preproc_connectome.tsv	
sub-A00078239_ses-FLU1_task-CHECKERBOARD_acq-645	NKI	/ocean/projects/med220004p/shared/data_sandbox/derived/RBC-testing/data/UPenn/NKI/sub-A00078239/ses-FLU1	None	sub-A00078239_ses-FLU1_task-CHECKERBOARD_acq-645_space-MNI152NLin6Asym_res-2_desc-preproc_connectome.tsv	
sub-A00078239_ses-FLU1_task-rest_acq-1400	NKI	/ocean/projects/med220004p/shared/data_sandbox/derived/RBC-testing/data/UPenn/NKI/sub-A00078239/ses-FLU1	None	sub-A00078239_ses-FLU1_task-rest_acq-1400_space-MNI152NLin6Asym_res-2_desc-preproc_connectome.tsv	
sub-A00078239_ses-FLU1_task-rest_acq-645	NKI	/ocean/projects/med220004p/shared/data_sandbox/derived/RBC-testing/data/UPenn/NKI/sub-A00078239/ses-FLU1	None	sub-A00078239_ses-FLU1_task-rest_acq-645_space-MNI152NLin6Asym_res-2_desc-preproc_connectome.tsv	
sub-A00078239_ses-FLU1_task-CHECKERBOARD_acq-1400	NKI	/ocean/projects/med220004p/shared/data_sandbox/derived/RBC-testing/data/UPenn/NKI/sub-A00078239/ses-FLU1	None		
sub-A00082942_ses-FLU1_task-rest_acq-CAPVARIANTPartialFourierTotalReadoutTime	NKI	/ocean/projects/med220004p/shared/data_sandbox/derived/RBC-testing/data/UPenn/NKI/sub-A00082942/ses-FLU1	None	sub-A00082942_ses-FLU1_task-rest_acq-CAPVARIANTPartialFourierTotalReadoutTime_space-MNI152NLin6Asym_res-2_desc-preproc_connectome.tsv	
sub-A00082942_ses-BAS1_task-rest_acq-CAP	NKI	/ocean/projects/med220004p/shared/data_sandbox/derived/RBC-testing/data/UPenn/NKI/sub-A00082942/ses-BAS1	None	sub-A00082942_ses-BAS1_task-rest_acq-CAP_space-MNI152NLin6Asym_res-2_desc-preproc_connectome.tsv	
sub-A00082942_ses-BAS1_task-CHECKERBOARD_acq-645	NKI	/ocean/projects/med220004p/shared/data_sandbox/derived/RBC-testing/data/UPenn/NKI/sub-A00082942/ses-BAS1	None	sub-A00082942_ses-BAS1_task-CHECKERBOARD_acq-645_space-MNI152NLin6Asym_res-2_desc-preproc_connectome.tsv	
sub-A00082942_ses-BAS1_task-CHECKERBOARD_acq-1400	NKI	/ocean/projects/med220004p/shared/data_sandbox/derived/RBC-testing/data/UPenn/NKI/sub-A00082942/ses-BAS1	None	sub-A00082942_ses-BAS1_task-CHECKERBOARD_acq-1400_space-MNI152NLin6Asym_res-2_desc-preproc_connectome.tsv	
sub-A00082942_ses-BAS1_task-BREATHHOLD_acq-1400	NKI	/ocean/projects/med220004p/shared/data_sandbox/derived/RBC-testing/data/UPenn/NKI/sub-A00082942/ses-BAS1	None	sub-A00082942_ses-BAS1_task-BREATHHOLD_acq-1400_space-MNI152NLin6Asym_res-2_desc-preproc_connectome.tsv	
sub-A00082942_ses-BAS1_task-rest_acq-1400	NKI	/ocean/projects/med220004p/shared/data_sandbox/derived/RBC-testing/data/UPenn/NKI/sub-A00082942/ses-BAS1	None	sub-A00082942_ses-BAS1_task-rest_acq-1400_space-MNI152NLin6Asym_res-2_desc-preproc_connectome.tsv	
sub-A00082942_ses-BAS1_task-rest_acq-645	NKI	/ocean/projects/med220004p/shared/data_sandbox/derived/RBC-testing/data/UPenn/NKI/sub-A00082942/ses-BAS1	None	sub-A00082942_ses-BAS1_task-rest_acq-645_space-MNI152NLin6Asym_res-2_desc-preproc_connectome.tsv	
sub-A00079850_ses-FLU2_acq-VARIANTParallelReductionFactorInPlanePartialFourierPhaseEncodingDirection	NKI	/ocean/projects/med220004p/shared/data_sandbox/derived/RBC-testing/data/UPenn/NKI/sub-A00079850/ses-FLU2	None		
sub-A00079850_ses-FLU2_acq-VARIANTMultibandAccelerationFactorPartialFourierTotalReadoutTime	NKI	/ocean/projects/med220004p/shared/data_sandbox/derived/RBC-testing/data/UPenn/NKI/sub-A00079850/ses-FLU2	None		
sub-A00079850_ses-FLU2_task-BREATHHOLD_acq-1400VARIANTMultibandAccelerationFactorPartialFourierTotalReadoutTime	NKI	/ocean/projects/med220004p/shared/data_sandbox/derived/RBC-testing/data/UPenn/NKI/sub-A00079850/ses-FLU2	None	sub-A00079850_ses-FLU2_task-BREATHHOLD_acq-1400VARIANTMultibandAccelerationFactorPartialFourierTotalReadoutTime_space-MNI152NLin6Asym_res-2_desc-preproc_connectome.tsv	
sub-A00079850_ses-FLU2_task-rest_acq-CAPVARIANTPartialFourierTotalReadoutTime	NKI	/ocean/projects/med220004p/shared/data_sandbox/derived/RBC-testing/data/UPenn/NKI/sub-A00079850/ses-FLU2	None	sub-A00079850_ses-FLU2_task-rest_acq-CAPVARIANTPartialFourierTotalReadoutTime_space-MNI152NLin6Asym_res-2_desc-preproc_connectome.tsv	
sub-A00079850_ses-FLU2_task-CHECKERBOARD_acq-645VARIANTMultibandAccelerationFactorPartialFourierTotalReadoutTime	NKI	/ocean/projects/med220004p/shared/data_sandbox/derived/RBC-testing/data/UPenn/NKI/sub-A00079850/ses-FLU2	None	sub-A00079850_ses-FLU2_task-CHECKERBOARD_acq-645VARIANTMultibandAccelerationFactorPartialFourierTotalReadoutTime_space-MNI152NLin6Asym_res-2_desc-preproc_connectome.tsv	
sub-A00079850_ses-FLU2_task-rest_acq-645VARIANTMultibandAccelerationFactorPartialFourierTotalReadoutTime	NKI	/ocean/projects/med220004p/shared/data_sandbox/derived/RBC-testing/data/UPenn/NKI/sub-A00079850/ses-FLU2	None	sub-A00079850_ses-FLU2_task-rest_acq-645VARIANTMultibandAccelerationFactorPartialFourierTotalReadoutTime_space-MNI152NLin6Asym_res-2_desc-preproc_connectome.tsv	
